,Accuracy Score,Precision Score,Recall Score,F1 Score
KNN,0.9364396714466101,0.8919148936170213,0.9935631954493289,0.9399990558466695
Tree,0.9373273156887995,0.8907409470752089,0.9972556259667681,0.9409936791553374
